"filteredrate","filteredrate.1","filteredrate.2","filteredrate.3","filteredrate.4","filteredrate.5","filteredrate.6","filteredrate.7","filteredrate.8","filteredrate.9","filteredrate.10","filteredrate.11","filteredrate.12","filteredrate.13","filteredrate.14","filteredrate.15","filteredrate.16","filteredrate.17","filteredrate.18"
0.144314818,0,0.26937855,0,1.977891347,0.839899408,0,0,0,0,1.436084768,0,0,0,0,0.301608579,0,0,0.038236449
0.272231224,0,0,0,1.984153947,0.593895648,0,0,0,0,0.710805122,0,0,0,0,0.319715119,0,0,0.072421782
0.415327683,0,0,0,2.425347952,0.958786019,0,0,0,0,1.091479032,0,0,0,0,0,0,0,0.037097196
0.70990983,0,0,0,2.902396295,1.046162509,0,0,0,0,0,0,0,0,0,0,0,0,0.033676731
1.080250188,0,0.04518105,0,2.521514954,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020425782
0.528655294,0,0.063994458,0,2.159585619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049394825
1.207149383,0,0,0,1.55831505,0,0,0,0,0,0,1.732803872,0,0,0,0,0,0,0.058291404
1.450538521,0,0,0,1.71797538,0,0,0,0.411295061,0,0,1.356657455,0,0,0,0.710865913,0,0,0.047453078
1.292067706,0,0,0,2.110631843,0.842910029,0,0,0.240640779,0,0,2.2023455,0,0,0,0.57282887,0,0,0.099222289
2.088867977,0,0,0,2.288984468,1.231719505,0,0,0,0,0,2.11484792,0,0,0,0.602606397,0,0,0.039003465
1.330171545,0,0,0,1.09417253,2.067499953,0,0,0,0,0,1.191275976,0,0,0,0.952232369,0,0,0.028776512
1.832505249,0,0,0,1.027481936,1.35813842,0,0,0,0,0,0,0,0,0,0.899287677,0,0,0.085798808
0.99427973,0,0,0,3.697629763,2.805989467,0,0,0,0,0,0,0,0,0,2.52519479,0,0,0.045830537
0.945537421,0,0,0,1.024423162,0,0,0,0,0,0,0,0.035532039,0,0.661190852,2.829557118,0,0,0.063556478
0.93832006,0,0.480251627,0,0.780915029,0,0,0,0,0,0,0,0.01760362,0,0.793603883,2.575675446,0,0,0.015025355
0.589272743,0,0.398852587,0,1.015973849,0,0,0,0,0,0,0.571145823,0.014847218,0,0,2.276441548,0.445541868,0,0.068970264
0.275254261,0,0.508815672,0,1.163823514,0,0,0,0,0,0,0.619526694,0.008952205,0,0,2.414542592,0,0,0.068015408
0.36629405,0,0,0,1.611225803,0.608492659,0,0,0,0,0,2.246253969,0,0,0,1.357509196,0,0,0.091594329
0.240814432,0,0,0,2.309305732,0,0,0,0,0,0,2.326331865,0,0,0,0.407274714,0,0,0.06782548
0.485661052,0,0,0,4.017647258,0,0,0,0,0,0,3.646612255,0,0,0,1.01508935,0,0,0.131283033
0.754067914,0,0,0,2.494599967,0,0,0,0,0,0,3.888831309,0,0,0,1.014213621,0,0,0.098900679
0.512440556,0,0,0,2.365141264,1.067223019,0,0,0,0,0,1.247082579,0,0,0,0,0,0,0.073106688
0.44737857,0,0,0,2.523388002,1.102820868,0,0,0,0,0,1.795023997,0,0,0,0,0,0,0.064609572
0.517413734,0,0,0,1.479112396,0,0,0,0,0,0,0.858867379,0,0,0,0,0,0,0
0.484950339,0,0,0,1.262309036,0,0,0,0,0,0,0.724854508,0,0,0,0,0,0,0
0.297068566,0,0,0,2.1209149,0,0,0.985024492,0,0,0,1.086405025,0.007498902,0,0,0,0,0,0
0.247137542,0,0.998278917,0,3.94120049,0,0,0.462536024,0,0,0,1.134752572,0,0,0,0,0,0,0
0.314955216,0,0.673738199,0,5.918791827,0,0,0.674831058,0,0,0,2.140776578,0,0,0,0,0,0,0
0.708556058,0,0,0,5.32375493,0,0,0.838943898,0,0,1.238644077,2.917242095,0,0,0,0,0,0,0
0.945675445,0,0,0,4.39662562,0,0,0.697196058,0,0,1.302590822,3.262959528,0,0,0,0,0,0,0
0.937561693,0,0,0,4.121338443,0,0,0.669053281,0,0,1.28505311,3.225617201,0,0,0,0,0,0,0
0.936505891,0,0,0,4.133550026,0,0,0.656927903,0,0,1.270557193,3.21269927,0,0,0.097808203,0,0,0,0
1.137460283,0,0,0,3.374856871,0,0,0.664520419,0.751804154,0,0,5.44450183,0,0,0,0,0,0,0
